file	function	option_name	values_seen	branch_evidence_lines	state_mutation	ayanamsa_touchpoint	anchor_id
src/jhora/horoscope/dhasa/graha/chathuraaseethi_sama.py	_get_dhasa_dict	seed_star	parameter_only	L45	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/chathuraaseethi_sama.py	_maha_dhasa	seed_star	parameter_only	L58	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/chathuraaseethi_sama.py	get_dhasa_bhukthi	antardhasa_option	parameter_only	L116	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/chathuraaseethi_sama.py	get_dhasa_bhukthi	dhasa_starting_planet	parameter_only	L116,L152	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/chathuraaseethi_sama.py	get_dhasa_bhukthi	divisional_chart_factor	parameter_only	L114,L150	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/chathuraaseethi_sama.py	get_dhasa_bhukthi	include_antardhasa	truthy/falsy	L114,L157	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/chathuraaseethi_sama.py	get_dhasa_bhukthi	seed_star	parameter_only	L116,L152	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/chathuraaseethi_sama.py	get_dhasa_bhukthi	star_position_from_moon	parameter_only	L115,L151	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/chathuraaseethi_sama.py	get_dhasa_bhukthi	use_tribhagi_variation	truthy/falsy	L115,L147	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/dwadasottari.py	_antardhasa	antardhasa_option	1,3,4,5,6	L56,L58,L60,L62	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/dwadasottari.py	_dhasa_start	dhasa_starting_planet	1,const._ascendant_symbol	L69,L76,L78,L80,L83,L86,L89,L92,L95,L100	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/dwadasottari.py	_dhasa_start	divisional_chart_factor	parameter_only	L68,L74,L81,L84,L87,L90,L93,L96	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/dwadasottari.py	_dhasa_start	seed_star	parameter_only	L69	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/dwadasottari.py	_dhasa_start	star_position_from_moon	parameter_only	L68	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/dwadasottari.py	_get_dhasa_dict	seed_star	parameter_only	L40	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/dwadasottari.py	_maha_dhasa	seed_star	parameter_only	L53	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/dwadasottari.py	get_dhasa_bhukthi	antardhasa_option	parameter_only	L110,L152	local_recompute	none	DS900
